Title,Year,Genre,Rating (Of 10)
Cats (2019),2019,"Comedy, Drama, Family",2.7
Aladdin (2019),2019,"Adventure, Family, Fantasy",7
Guardians of the Galaxy Vol. 2 (2017),2017,"Action, Adventure, Comedy",7.6
Grown Ups 2 (2013),2013,Comedy,5.4
Shutter Island (2010),2010,"Mystery, Thriller",8.1
Deadpool (2016),2016,"Action, Adventure, Comedy",8
The Social Network (2010),2010,"Biography, Drama",7.7
Aquaman (2018),2018,"Action, Adventure, Fantasy",7
The Grand Budapest Hotel (2014),2014,"Adventure, Comedy, Crime",8.1
 Portrait of a Lady on Fire (2019),2019,"Drama, Romance",8.1
Black Panther (2018),2018,"Action, Adventure, Sci-Fi",7.3
Bohemian Rhapsody (2018),2018,"Biography, Drama, Music",8
Booksmart (2019),2019,Comedy,7.2
Angel Has Fallen (2019),2019,"Action, Thriller",6.4
 Captain Marvel (2019),2019,"Action, Adventure, Sci-Fi",6.9
 Green Book (2018),2018,"Biography, Comedy, Drama",8.2
Fury (2014),2014,"Action, Drama, War",7.6
Wonder Woman (2017),2017,"Action, Adventure, Fantasy",7.4
Toy Story 4 (2019),2019,"Animation, Adventure, Comedy",7.8
Shazam! (2019),2019,"Action, Adventure, Comedy",7.1
Code 8 (2019),2019,"Action, Crime, Drama",6.1
John Wick: Chapter 3 - Parabellum (2019),2019,"Action, Crime, Thriller",7.5
Moana (I) (2016),2016,"Animation, Adventure, Comedy",7.6
